flight_name,flight_number,date_utc,payload_mass_kg,landing_success,year,month,orbit_GEO,orbit_GTO,orbit_HEO,orbit_ISS,orbit_LEO,orbit_LEO;VLEO,orbit_MEO,orbit_PO,orbit_SSO,orbit_SSO;VLEO,orbit_TLI,orbit_VLEO,launch_site_KSC LC 39A,launch_site_VAFB SLC 4E,landing_type_Ocean,landing_type_RTLS,landpad_name_JRTI,landpad_name_JRTI-1,landpad_name_LZ-1,landpad_name_LZ-4,landpad_name_OCISLY
CASSIOPE,11,2013-09-29T16:00:00.000Z,500.0,0,2013,9,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
CRS-3,14,2014-04-18T19:25:00.000Z,2296.0,1,2014,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
OG-2 Mission 1,15,2014-07-14T15:15:00.000Z,1316.0,1,2014,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CRS-4,18,2014-09-21T05:52:00.000Z,2216.0,0,2014,9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CRS-5,19,2015-01-10T09:47:00.000Z,2395.0,0,2015,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DSCOVR,20,2015-02-11T23:03:00.000Z,570.0,1,2015,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CRS-6,22,2015-04-14T20:10:00.000Z,1898.0,0,2015,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
OG-2 Mission 2,25,2015-12-22T01:29:00.000Z,2034.0,1,2015,12,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Jason 3,26,2016-01-17T15:42:00.000Z,553.0,0,2016,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
SES-9,27,2016-03-04T23:35:00.000Z,5271.0,0,2016,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CRS-8,28,2016-04-08T20:43:00.000Z,3136.0,1,2016,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
JCSAT-2B,29,2016-05-06T05:21:00.000Z,4696.0,1,2016,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Thaicom 8,30,2016-05-27T21:39:00.000Z,3100.0,1,2016,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ABS-2A / Eutelsat 117W B,31,2016-06-15T14:29:00.000Z,3600.0,0,2016,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CRS-9,32,2016-07-18T04:45:00.000Z,2257.0,1,2016,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
JCSAT-16,33,2016-08-14T05:26:00.000Z,4600.0,1,2016,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Iridium NEXT Mission 1,35,2017-01-14T17:54:00.000Z,9600.0,1,2017,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
CRS-10,36,2017-02-19T14:39:00.000Z,2490.0,1,2017,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
SES-10,38,2017-03-30T22:27:00.000Z,5300.0,1,2017,3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
NROL-76,39,2017-05-01T11:15:00.000Z,,1,2017,5,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
CRS-11,41,2017-06-03T21:07:00.000Z,2708.0,1,2017,6,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
BulgariaSat-1,42,2017-06-23T19:10:00.000Z,3669.0,1,2017,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Iridium NEXT Mission 2,43,2017-06-25T20:25:00.000Z,9600.0,1,2017,6,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
CRS-12,45,2017-08-14T16:31:00.000Z,2910.0,1,2017,8,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
FormoSat-5,46,2017-08-24T18:50:00.000Z,475.0,1,2017,8,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Boeing X-37B OTV-5,47,2017-09-07T13:50:00.000Z,4990.0,1,2017,9,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
Iridium NEXT Mission 3,48,2017-10-09T12:37:00.000Z,9600.0,1,2017,10,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
SES-11 / Echostar 105,49,2017-10-11T22:53:00.000Z,5200.0,1,2017,10,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
KoreaSat 5A,50,2017-10-30T19:34:00.000Z,3700.0,1,2017,10,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
CRS-13,51,2017-12-15T15:36:00.000Z,2205.0,1,2017,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Iridium NEXT Mission 4,52,2017-12-23T01:27:23.000Z,9600.0,1,2017,12,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
ZUMA,53,2018-01-08T01:00:00.000Z,,1,2018,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
SES-16 / GovSat-1,54,2018-01-31T21:25:00.000Z,4230.0,1,2018,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TESS,60,2018-04-18T22:51:00.000Z,350.0,1,2018,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Bangabandhu-1,61,2018-05-11T20:14:00.000Z,3750.0,1,2018,5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Telstar 19V,65,2018-07-22T05:50:00.000Z,7076.0,1,2018,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Iridium NEXT Mission 7,66,2018-07-25T11:39:26.000Z,9600.0,1,2018,7,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
