flight_name,flight_number,date_utc,rocket_name,rocket_block,launch_site,payload_mass_kg,orbit,landing_success,landing_type,landpad_name
Falcon 9 Test Flight,6,2010-06-04T18:45:00.000Z,Falcon 9,2,CCSFS SLC 40,,LEO,,,
COTS 1,7,2010-12-08T15:43:00.000Z,Falcon 9,2,CCSFS SLC 40,,LEO,,,
COTS 2,8,2012-05-22T07:44:00.000Z,Falcon 9,2,CCSFS SLC 40,525.0,LEO,,,
CRS-1,9,2012-10-08T00:35:00.000Z,Falcon 9,2,CCSFS SLC 40,800.0,ISS;LEO,,,
CRS-2,10,2013-03-01T19:10:00.000Z,Falcon 9,2,CCSFS SLC 40,677.0,ISS,,,
CASSIOPE,11,2013-09-29T16:00:00.000Z,Falcon 9,2,VAFB SLC 4E,500.0,PO,False,Ocean,
SES-8,12,2013-12-03T22:41:00.000Z,Falcon 9,2,CCSFS SLC 40,3170.0,GTO,,,
Thaicom 6,13,2014-01-06T18:06:00.000Z,Falcon 9,2,CCSFS SLC 40,3325.0,GTO,,,
CRS-3,14,2014-04-18T19:25:00.000Z,Falcon 9,2,CCSFS SLC 40,2296.0,ISS,True,Ocean,
OG-2 Mission 1,15,2014-07-14T15:15:00.000Z,Falcon 9,2,CCSFS SLC 40,1316.0,LEO,True,Ocean,
AsiaSat 8,16,2014-08-05T08:00:00.000Z,Falcon 9,2,CCSFS SLC 40,4535.0,GTO,,,
AsiaSat 6,17,2014-09-07T05:00:00.000Z,Falcon 9,2,CCSFS SLC 40,4428.0,GTO,,,
CRS-4,18,2014-09-21T05:52:00.000Z,Falcon 9,2,CCSFS SLC 40,2216.0,ISS,False,Ocean,
CRS-5,19,2015-01-10T09:47:00.000Z,Falcon 9,2,CCSFS SLC 40,2395.0,ISS,False,ASDS,JRTI-1
DSCOVR,20,2015-02-11T23:03:00.000Z,Falcon 9,2,CCSFS SLC 40,570.0,ES-L1,True,Ocean,
ABS-3A / Eutelsat 115W B,21,2015-03-02T03:50:00.000Z,Falcon 9,2,CCSFS SLC 40,4159.0,GTO,,,
CRS-6,22,2015-04-14T20:10:00.000Z,Falcon 9,2,CCSFS SLC 40,1898.0,ISS,False,ASDS,JRTI-1
TürkmenÄlem 52°E / MonacoSAT,23,2015-04-27T23:03:00.000Z,Falcon 9,2,CCSFS SLC 40,4707.0,GTO,,,
CRS-7,24,2015-06-28T14:21:00.000Z,Falcon 9,2,CCSFS SLC 40,2477.0,ISS,,ASDS,OCISLY
OG-2 Mission 2,25,2015-12-22T01:29:00.000Z,Falcon 9,2,CCSFS SLC 40,2034.0,LEO,True,RTLS,LZ-1
Jason 3,26,2016-01-17T15:42:00.000Z,Falcon 9,2,VAFB SLC 4E,553.0,PO,False,ASDS,JRTI
SES-9,27,2016-03-04T23:35:00.000Z,Falcon 9,2,CCSFS SLC 40,5271.0,GTO,False,ASDS,OCISLY
CRS-8,28,2016-04-08T20:43:00.000Z,Falcon 9,2,CCSFS SLC 40,3136.0,ISS,True,ASDS,OCISLY
JCSAT-2B,29,2016-05-06T05:21:00.000Z,Falcon 9,2,CCSFS SLC 40,4696.0,GTO,True,ASDS,OCISLY
Thaicom 8,30,2016-05-27T21:39:00.000Z,Falcon 9,2,CCSFS SLC 40,3100.0,GTO,True,ASDS,OCISLY
ABS-2A / Eutelsat 117W B,31,2016-06-15T14:29:00.000Z,Falcon 9,2,CCSFS SLC 40,3600.0,GTO,False,ASDS,OCISLY
CRS-9,32,2016-07-18T04:45:00.000Z,Falcon 9,2,CCSFS SLC 40,2257.0,ISS,True,RTLS,LZ-1
JCSAT-16,33,2016-08-14T05:26:00.000Z,Falcon 9,2,CCSFS SLC 40,4600.0,GTO,True,ASDS,OCISLY
Amos-6,34,2016-09-01T13:07:00.000Z,Falcon 9,2,CCSFS SLC 40,5500.0,GTO,,ASDS,OCISLY
Iridium NEXT Mission 1,35,2017-01-14T17:54:00.000Z,Falcon 9,2,VAFB SLC 4E,9600.0,PO,True,ASDS,JRTI
CRS-10,36,2017-02-19T14:39:00.000Z,Falcon 9,2,KSC LC 39A,2490.0,ISS,True,RTLS,LZ-1
EchoStar 23,37,2017-03-16T06:00:00.000Z,Falcon 9,2,KSC LC 39A,5600.0,GTO,,,
SES-10,38,2017-03-30T22:27:00.000Z,Falcon 9,2,KSC LC 39A,5300.0,GTO,True,ASDS,OCISLY
NROL-76,39,2017-05-01T11:15:00.000Z,Falcon 9,2,KSC LC 39A,,LEO,True,RTLS,LZ-1
Inmarsat-5 F4,40,2017-05-15T23:21:00.000Z,Falcon 9,2,KSC LC 39A,6070.0,GTO,,,
CRS-11,41,2017-06-03T21:07:00.000Z,Falcon 9,2,KSC LC 39A,2708.0,ISS,True,RTLS,LZ-1
BulgariaSat-1,42,2017-06-23T19:10:00.000Z,Falcon 9,2,KSC LC 39A,3669.0,GTO,True,ASDS,OCISLY
Iridium NEXT Mission 2,43,2017-06-25T20:25:00.000Z,Falcon 9,2,VAFB SLC 4E,9600.0,PO,True,ASDS,JRTI
Intelsat 35e,44,2017-07-05T23:35:00.000Z,Falcon 9,2,KSC LC 39A,6761.0,GTO,,,
CRS-12,45,2017-08-14T16:31:00.000Z,Falcon 9,2,KSC LC 39A,2910.0,ISS,True,RTLS,LZ-1
FormoSat-5,46,2017-08-24T18:50:00.000Z,Falcon 9,2,VAFB SLC 4E,475.0,SSO,True,ASDS,JRTI
Boeing X-37B OTV-5,47,2017-09-07T13:50:00.000Z,Falcon 9,2,KSC LC 39A,4990.0,LEO,True,RTLS,LZ-1
Iridium NEXT Mission 3,48,2017-10-09T12:37:00.000Z,Falcon 9,2,VAFB SLC 4E,9600.0,PO,True,ASDS,JRTI
SES-11 / Echostar 105,49,2017-10-11T22:53:00.000Z,Falcon 9,2,KSC LC 39A,5200.0,GTO,True,ASDS,OCISLY
KoreaSat 5A,50,2017-10-30T19:34:00.000Z,Falcon 9,2,KSC LC 39A,3700.0,GTO,True,ASDS,OCISLY
CRS-13,51,2017-12-15T15:36:00.000Z,Falcon 9,2,CCSFS SLC 40,2205.0,ISS,True,RTLS,LZ-1
Iridium NEXT Mission 4,52,2017-12-23T01:27:23.000Z,Falcon 9,2,VAFB SLC 4E,9600.0,PO,True,Ocean,
ZUMA,53,2018-01-08T01:00:00.000Z,Falcon 9,2,CCSFS SLC 40,,LEO,True,RTLS,LZ-1
SES-16 / GovSat-1,54,2018-01-31T21:25:00.000Z,Falcon 9,2,CCSFS SLC 40,4230.0,GTO,True,Ocean,
Paz / Starlink Demo,56,2018-02-22T14:17:00.000Z,Falcon 9,2,VAFB SLC 4E,2150.0,SSO,,,
Hispasat 30W-6,57,2018-03-06T05:33:00.000Z,Falcon 9,2,CCSFS SLC 40,6092.0,GTO,,,
Iridium NEXT Mission 5,58,2018-03-30T14:13:51.000Z,Falcon 9,2,VAFB SLC 4E,9600.0,PO,,,
CRS-14,59,2018-04-02T20:30:41.000Z,Falcon 9,2,CCSFS SLC 40,2760.0,ISS,,,
TESS,60,2018-04-18T22:51:00.000Z,Falcon 9,2,CCSFS SLC 40,350.0,HEO,True,ASDS,OCISLY
Bangabandhu-1,61,2018-05-11T20:14:00.000Z,Falcon 9,2,KSC LC 39A,3750.0,GTO,True,ASDS,OCISLY
Iridium NEXT Mission 6,62,2018-05-22T19:47:58.000Z,Falcon 9,2,VAFB SLC 4E,5460.0,PO,,,
SES-12,63,2018-06-04T04:45:00.000Z,Falcon 9,2,CCSFS SLC 40,5383.85,GTO,,,
CRS-15,64,2018-06-29T09:42:00.000Z,Falcon 9,2,CCSFS SLC 40,2410.0,ISS,,,
Telstar 19V,65,2018-07-22T05:50:00.000Z,Falcon 9,2,CCSFS SLC 40,7076.0,GTO,True,ASDS,OCISLY
Iridium NEXT Mission 7,66,2018-07-25T11:39:26.000Z,Falcon 9,2,VAFB SLC 4E,9600.0,PO,True,ASDS,JRTI
Merah Putih,67,2018-08-07T05:18:00.000Z,Falcon 9,2,CCSFS SLC 40,5800.0,GTO,True,ASDS,OCISLY
Telstar 18V,68,2018-09-10T04:45:00.000Z,Falcon 9,2,CCSFS SLC 40,7060.0,GTO,True,ASDS,OCISLY
SAOCOM 1A,69,2018-10-08T02:22:00.000Z,Falcon 9,2,VAFB SLC 4E,2800.0,SSO,True,RTLS,LZ-4
Es’hail 2,70,2018-11-15T20:46:00.000Z,Falcon 9,2,KSC LC 39A,3000.0,GTO,True,ASDS,OCISLY
SSO-A,71,2018-12-03T18:34:00.000Z,Falcon 9,2,VAFB SLC 4E,4000.0,SSO,True,ASDS,JRTI
CRS-16,72,2018-12-05T18:16:00.000Z,Falcon 9,2,CCSFS SLC 40,2573.0,ISS,False,RTLS,LZ-1
GPS III SV01,73,2018-12-23T13:51:00.000Z,Falcon 9,2,CCSFS SLC 40,4400.0,MEO,,,
Iridium NEXT Mission 8,74,2019-01-11T15:31:00.000Z,Falcon 9,2,VAFB SLC 4E,9600.0,PO,True,ASDS,JRTI
Nusantara Satu (PSN-6) / S5 / Beresheet,75,2019-02-22T01:45:00.000Z,Falcon 9,2,CCSFS SLC 40,5645.0,GTO,True,ASDS,OCISLY
CCtCap Demo Mission 1,76,2019-03-02T07:45:00.000Z,Falcon 9,2,KSC LC 39A,12259.0,ISS,True,ASDS,OCISLY
CRS-17,78,2019-05-04T06:48:00.000Z,Falcon 9,2,CCSFS SLC 40,2482.0,ISS,True,ASDS,OCISLY
Starlink v0.9,79,2019-05-24T02:30:00.000Z,Falcon 9,2,CCSFS SLC 40,13200.0,VLEO,True,ASDS,OCISLY
RADARSAT Constellation,80,2019-06-12T14:17:00.000Z,Falcon 9,2,VAFB SLC 4E,1425.0,SSO,True,RTLS,LZ-4
CRS-18,82,2019-07-25T22:01:00.000Z,Falcon 9,2,CCSFS SLC 40,2227.7,ISS,True,RTLS,LZ-1
