Flight No,Date,"Version, booster",Launch site (wiki),Payload,Payload mass,Orbit (wiki),Customer,Launch outcome,Booster landing,date_only
286,"January 3, 2024 03:44[24]",F9 B5 B1082‑1,"Vandenberg, SLC‑4E",Starlink: Group 7-9 (22 satellites),16800.0,LEO,SpaceX,Success,Success (OCISLY),NaT
286,"Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.",22.0,"Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.",NaT
287,"January 3, 2024 23:04[25]",F9 B5 B1076‑10,"Cape Canaveral, SLC‑40",Ovzon-3,1800.0,GTO,Ovzon,Success,Success (LZ‑1),NaT
287,"Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]",,"Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]",NaT
288,"January 7, 2024 22:35[29]",F9 B5 B1067‑16,"Cape Canaveral, SLC‑40",Starlink: Group 6-35 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),NaT
288,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]",23.0,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]",NaT
289,"January 14, 2024 08:59[31]",F9 B5 B1061‑18,"Vandenberg, SLC‑4E",Starlink: Group 7-10 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),NaT
289,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,22.0,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,NaT
290,"January 15, 2024 01:52[32]",F9 B5 B1073‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-37 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),NaT
290,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]",23.0,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]",NaT
291,"January 18, 2024 21:49[35]",F9 B5 B1080‑5,"Kennedy, LC‑39A",Ax-3 (Crew Dragon C212-3 Freedom),13000.0,LEO (ISS),Axiom Space,Success,Success (LZ‑1),NaT
